28-09-2018 10:39:15 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 18776 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:39:15 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:39:25 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.742 seconds (JVM running for 12.258)
28-09-2018 10:40:49 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 212 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:40:49 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:40:58 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.512 seconds (JVM running for 11.173)
28-09-2018 10:45:13 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 22776 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:45:13 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:45:21 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.279 seconds (JVM running for 10.935)
28-09-2018 10:46:30 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 24212 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:46:30 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:46:39 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.022 seconds (JVM running for 11.147)
28-09-2018 10:50:02 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 19332 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:50:02 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:50:11 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.769 seconds (JVM running for 12.547)
28-09-2018 10:51:29 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 17820 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:51:29 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:51:38 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.064 seconds (JVM running for 10.8)
28-09-2018 10:52:37 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 13584 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:52:37 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
28-09-2018 10:52:45 [main] {59} INFO  b.c.p.NocaCorporationApplication - Started NocaCorporationApplication in 9.12 seconds (JVM running for 10.885)
28-09-2018 10:53:56 [main] {50} INFO  b.c.p.NocaCorporationApplication - Starting NocaCorporationApplication on DESKTOP-H1527R1 with PID 13092 (C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation\target\classes started by pimen in C:\RODRIGO\PROGRAMACAO\WORKSPACES\WORKSPACE_STS\NocaCorporation\NocaCorporation)
28-09-2018 10:53:56 [main] {662} INFO  b.c.p.NocaCorporationApplication - No active profile set, falling back to default profiles: default
